0;0;-1;10:21:10
1;0.0;-1;10:21:12
1;0.0;-1;10:21:13
2;0.0;-1;10:21:14
2;0.0;-1;10:21:15
2;0.0;-1;10:21:16
2;0.0;-1;10:21:17
3;0.0;-1;10:21:18
3;0.0;-1;10:21:19
3;0.0;-1;10:21:20
3;0.0;-1;10:21:21
3;0.0;-1;10:21:22
3;0.0;-1;10:21:23
3;0.0;-1;10:21:24
4;0.0;-1;10:21:25
4;0.0;-1;10:21:26
4;0.0;-1;10:21:27
4;0.0;-1;10:21:28
4;0.0;-1;10:21:29
5;0.0;-1;10:21:30
5;0.0;-1;10:21:31
5;0.0;-1;10:21:32
5;0.0;-1;10:21:33
6;0.0;-1;10:21:34
6;0.0;-1;10:21:35
6;0.0;-1;10:21:37
6;0.0;-1;10:21:38
6;0.0;-1;10:21:39
6;0.0;-1;10:21:40
7;0.0;-1;10:21:41
4;0.0;-1;10:21:42
2;0.0;-1;10:21:43
1;0.0;-1;10:21:44
1;0.0;-1;10:21:45
0;0;-1;10:21:46
0;0;-1;10:21:47
0;0;-1;10:21:48
1;0.0;-1;10:21:49
1;0.0;-1;10:21:50
1;0.0;-1;10:21:51
1;0.0;0.9;10:21:52
1;0.0;2.0;10:21:53
1;0.0;3.0;10:21:54
2;0.0;4.0;10:21:55
2;0.0;5.0;10:21:56
2;0.0;6.1;10:21:57
2;0.0;7.1;10:21:58
3;0.0;8.1;10:21:59
3;0.0;9.2;10:22:00
3;0.0;10.2;10:22:01
4;0.0;11.2;10:22:02
4;0.0;12.3;10:22:03
4;0.0;13.3;10:22:04
5;0.0;14.4;10:22:05
6;0.0;15.4;10:22:07
7;0.0;16.4;10:22:08
7;0.0;17.4;10:22:09
7;0.0;18.5;10:22:10
7;0.0;19.5;10:22:11
8;0.0;20.6;10:22:12
8;0.0;21.6;10:22:13
8;0.0;22.6;10:22:14
9;0.0;23.6;10:22:15
9;0.0;24.7;10:22:16
9;0.0;25.7;10:22:17
9;0.0;26.8;10:22:18
9;0.0;27.8;10:22:19
9;0.0;28.9;10:22:20
9;0.0;29.9;10:22:21
9;0.0;30.9;10:22:22
9;0.0;32.0;10:22:23
10;0.0;33.0;10:22:24
10;0.0;34.0;10:22:25
10;0.0;35.1;10:22:26
10;0.0;36.1;10:22:27
10;0.0;37.1;10:22:28
10;0.0;38.2;10:22:29
10;0.0;39.2;10:22:30
10;0.0;40.3;10:22:31
10;0.0;41.3;10:22:32
11;0.0;42.3;10:22:33
11;0.0;43.4;10:22:34
11;0.0;44.4;10:22:36
11;0.0;45.4;10:22:37
12;0.0;46.5;10:22:38
12;0.0;47.5;10:22:39
12;0.0;48.6;10:22:40
13;0.0;49.6;10:22:41
11;0.0;50.6;10:22:42
9;0.0;51.6;10:22:43
6;0.0;52.7;10:22:44
3;0.0;53.7;10:22:45
1;0.0;54.8;10:22:46
2;0.0;55.8;10:22:47
1;0.0;56.8;10:22:48
1;0.0;57.9;10:22:49
1;0.0;58.9;10:22:50
2;0.0;59.9;10:22:51
3;0.0;0.4;10:22:52
3;0.0;1.5;10:22:53
3;0.0;2.5;10:22:54
3;0.0;3.5;10:22:55
3;0.0;4.6;10:22:56
3;0.0;5.6;10:22:57
3;0.0;6.6;10:22:58
4;0.0;7.7;10:22:59
4;0.0;8.7;10:23:00
4;0.0;9.7;10:23:01
4;0.0;10.7;10:23:02
4;0.0;11.8;10:23:03
4;0.0;12.8;10:23:04
4;0.0;13.8;10:23:05
4;0.0;14.9;10:23:07
5;0.0;16.0;10:23:08
5;0.0;17.0;10:23:09
6;0.0;18.0;10:23:10
6;0.0;19.0;10:23:11
6;0.0;20.1;10:23:12
6;0.0;21.1;10:23:13
6;0.0;22.1;10:23:14
6;0.0;23.1;10:23:15
6;0.0;24.2;10:23:16
6;0.0;25.2;10:23:17
6;0.0;26.3;10:23:18
6;0.0;27.3;10:23:19
6;0.0;28.3;10:23:20
6;0.0;29.4;10:23:21
6;0.0;30.4;10:23:22
6;0.0;31.5;10:23:23
6;0.0;32.5;10:23:24
6;0.0;33.5;10:23:25
6;0.0;34.6;10:23:26
7;0.0;35.6;10:23:27
7;0.0;36.6;10:23:28
